,Domain,Division,Class,Order,Family,Genus,Cell shape,Cell motility,Sampling ocean,Sampling regional sea,Sampling country,Sampling ecosystem,Isolation by,Sampling by,Deposit to rcc by,RCC medium,RCC temperature,RCC transfer period weeks,RCC light,Remark,Sampling date,Clonal,Axenic,Pure,Heterotrophic,Toxic,Symbiotic,Transformed,STRAIN ID,Latitude,Longitude,Sampling site,Sampling station,Isolation method,Identification method,Isolation medium,Purification by,Purification method,Sampling depth (m),Contaminant type,Sampling cruise,Sampling temperature,Identification by,Cell assemblage,Date entered catalog,Host type,Host genus,Sampling substrate,Isolation growth temperature,Clade,Deposit to RCC date,Sampling water type
RCC3922,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3922,-36.65,-73.33,coast of Chile,Concepcion,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3923,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,Mix of coccolith-bearing non-motile cells and naked flagellate cells,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3923,-36.65,-73.33,coast of Chile,Concepcion,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3924,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3924,-36.65,-73.33,coast of Chile,Concepcion,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3925,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3925,-36.65,-73.33,coast of Chile,Concepcion,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3926,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3926,-36.65,-73.33,coast of Chile,Concepcion,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3927,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3927,-36.65,-73.33,coast of Chile,Concepcion,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3928,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3928,-36.65,-73.33,coast of Chile,Concepcion,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3929,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3929,-36.65,-73.33,coast of Chile,Concepcion,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3930,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3930,-36.65,-73.33,coast of Chile,Concepcion,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3931,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3931,-36.65,-73.33,coast of Chile,Concepcion,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3932,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3932,-33.38,-71.72,coast of Chile,El Quisco,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3933,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3933,-33.38,-71.72,coast of Chile,El Quisco,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3934,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3934,-33.38,-71.72,coast of Chile,El Quisco,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3936,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3936,-26.33,-70.72,coast of Chile,Chañaral,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3938,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3938,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3939,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3939,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3940,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3940,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3941,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3941,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3942,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3942,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3943,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3943,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3945,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3945,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3946,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3946,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3947,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3947,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3948,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3948,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3949,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3949,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3950,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3950,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3952,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",No,No,Yes,No,No,No,No,RCC3952,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3953,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3953,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3954,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3954,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3955,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3955,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3956,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3956,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3958,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3958,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3959,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3959,-30.25,-71.7,coast of Chile,Tongoy,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3960,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3960,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3961,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3961,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3962,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3962,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3963,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3963,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3965,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3965,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3966,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3966,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3967,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3967,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3968,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3968,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3969,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3969,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3970,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3970,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3972,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3972,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3973,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3973,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3974,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3974,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3976,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3976,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3977,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3977,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3978,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3978,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3979,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3979,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3980,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3980,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3981,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3981,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3982,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3982,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3983,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3983,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3984,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3984,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3985,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3985,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3986,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3986,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3987,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3987,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3988,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3988,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3989,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3989,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3990,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3990,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3991,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3991,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
RCC3992,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South East Pacific,Chile,pelagic,P. von Dassow,,P. Von Dassow,K/2,15.00,,,,"Saturday, October 1, 2011",Yes,No,Yes,No,No,No,No,RCC3992,-33.63,-78.82,Juan Fernandez Archipeligo,Robinson Crusoe Island,Flow cytometry sorting (1 cell),,,,,,,,,,solitary,,,,,,,,
